Location,Latitude,Longitude
Hasaruvani,38.89037,-77.03196
Heelalige,12.81747,77.70901
Heggondahalli,12.90493,77.74704
Hennagara,12.78815,77.67396
Hennagara Amanikere,12.79587,77.68166
Hinnakki,12.77449,77.68269
Hompalaghatta,12.69282,77.7014
Honnakalasapura,12.72934,77.68306
Hosahalli,12.88125,77.53321
Hulimangala,12.95451,77.90165
Hullahalli,13.02862,76.5846
Hullukasavanahalli,12.81604,77.61
Huskur,13.0603,77.76227
Iggalur,12.47964,77.13951
Indlabele,12.79009,77.77838
Indlawadi,12.72536,77.63935
Indlawadipura,12.71356,77.64109
Itchangur,27.72624,85.27035
Ittangur,12.8808,77.7909
J Bingipura,12.99118,77.97624
Janatha Colony,17.68193,83.24063
Jangal Palya,23.17719,87.9547
Janthagondanahalli,12.9241,77.78631
Jigala,-17.93821,122.22868
Kachanaikanahalli,12.97208,76.13967
Kadagrahara,12.86249,77.76493
Kadajakkanahalli,12.73632,77.63622
Kaggalipura,12.22499,77.10235
Kalanaikanahalli,14.75713,76.73553
Kalbalu,38.89037,-77.03196
Kalkere,13.03401,77.67508
Kamanahalli,13.01424,77.63676
Kamblipura,12.7588,77.7447
Kammasandra,13.2068,77.37992
Kammasandra Agrahara,12.83138,77.69359
Kannaikana Agrahara,33.20704,35.29981
Karpur,26.46537,86.11518
Kathriguppe,12.93166,77.55271
Kaval Hosahalli,12.72544,77.70399
Kempavaderahalli,12.84645,77.28774
Kittaganahalli,13.31476,78.22933
Kodlipura,13.14232,78.11922
Kommasandra,13.59671,77.97347
Konasandra,12.66521,77.51033
Koppa,13.53553,75.36592
Koppa Gate,65.65957,-20.30023
Kotiganahalli,12.936,75.9637
Krishnasagara,13.34529,76.65041
Kugur,12.91037,77.81152
Kumbaranahalli,12.74564,77.66274
Kunmadivala,12.75036,77.69789
Kurubarahatti,13.19253,76.61973
Kuthaganahalli,12.88778,77.80319
Kyalasanahalli,13.05315,77.66
Laxmi Sagara,20.26902,85.85291
Laxmipura,22.32494,73.13862
Lingapura,8.3356,81.26272
M Medihalli,14.23789,76.39296
Mada Patna,13.17426,76.72126
Madappanahalli,13.15407,77.5404
Madivala,13.02336,77.92979
Mahal Chowdadenahalli,13.46697,78.04634
Mahanthalingapura,12.76619,77.61843
Manchanahalli,12.8356,76.06113
Mantapa,12.80685,77.59809
Maranaikanahalli,12.72393,77.77862
Marasur,12.75921,77.7152
Marasur Agrahara,12.29962,76.65363
Masthena Halli,38.89037,-77.03196
Mattanahalli,12.89138,76.00869
Mayasandra,13.3115,77.66241
Menasiganahalli,12.66263,77.70135
Mugalur,12.62744,77.81155
Muthagatti,12.70159,77.7244
Muthanallur,12.83189,77.73672
Muthanallur Amanikere,38.89037,-77.03196
Muthasandra,12.95184,77.75816
Naganaikanahalli,13.2284,77.78991
Nagen Agrahara,12.911,77.6234
Nallasandra,12.79301,77.65401
Nanjapura,13.23689,76.042
Narayanaghatta,12.83621,77.72649
Nekkundi Dommasandra,12.928,77.77774
Neralur,12.79277,77.72698
Neriga,12.91063,77.78109
Nosenur,12.74677,77.65264
Nosenur Gollahalli,12.73929,77.65126
Panditana Agrahara,12.87813,77.82736
Patnagere Gollahalli,12.69283,77.68373
Rachamanahalli,12.71892,77.74539
Ragihalli,12.95393,76.85745
Rajapura,30.47588,76.58966
Ramakrishnapura,12.78286,77.69525
Ramasagara,13.12579,78.32789
Ramasandra,12.85404,78.26328
Ramnaikanahalli,38.89037,-77.03196
Rayasandra,12.88116,77.67715
S Bingipura,12.99118,77.97624
S Medihalli,14.23789,76.39296
Sakalawara,38.89037,-77.03196
Samanahalli,12.83291,77.74815
Samandur,12.71318,77.75489
Seeganaikanahalli,38.89037,-77.03196
Seethanaikana Halli,38.89037,-77.03196
Shivanahalli,12.8003,75.8539
Sidihosakote,12.72838,77.68786
Singasandra,12.87156,77.63846
Singena Agrahara,12.83721,77.71626
Sollepura,12.82808,77.75724
Solur,12.76327,78.70275
Sompura,26.06772,75.01701
Sonnanayakanapura,12.72775,77.65924
Soppahalli,13.49222,77.77876
Sriramapura,13.14777,78.22886
Submangala,12.7488,79.5793
Sunavara,23.03604,79.62743
Suragajakkanahalli,12.73904,77.66846
Telagarahalli,12.69038,77.69188
Thammanaikanahalli,38.89037,-77.03196
Thattanahalli,13.21661,76.54301
Thigala Chowdadenahalli,13.46697,78.04634
Thimmasandra,12.86616,77.7958
Thindlu,13.07133,77.566
Thirumagondanahalli,13.34997,77.53963
Thirupalya,12.82074,77.66684
Tyayakana Halli,38.89037,-77.03196
Vabasandra,12.80814,77.65119
Vaddara Palya,12.89131,77.79813
Vaderahalli,13.09669,77.53772
Vaderamanchanahalli,12.76869,77.6319
Vanakanahalli,12.6673,77.69493
Veerasandra,38.89037,-77.03196
Volagerekallahalli,38.89037,-77.03196
Yadavanahalli,12.87803,75.98799
Yamare,27.83084,85.15144
Yarandahalli,38.89037,-77.03196
